customer_id,name,region,tier
C001,Customer 1,Central,Enterprise
C002,Customer 2,Central,Mid-market
C003,Customer 3,West,Mid-market
C004,Customer 4,North,SMB
C005,Customer 5,Central,Enterprise
C006,Customer 6,West,Mid-market
C007,Customer 7,Central,SMB
C008,Customer 8,East,Enterprise
C009,Customer 9,North,SMB
C010,Customer 10,Central,SMB
C011,Customer 11,South,Mid-market
C012,Customer 12,West,Enterprise
C013,Customer 13,East,Mid-market
C014,Customer 14,East,Enterprise
C015,Customer 15,Central,SMB
C016,Customer 16,North,Mid-market
C017,Customer 17,West,SMB
C018,Customer 18,East,Mid-market
C019,Customer 19,Central,SMB
C020,Customer 20,South,Mid-market
C021,Customer 21,South,SMB
C022,Customer 22,South,SMB
C023,Customer 23,South,SMB
C024,Customer 24,South,SMB
C025,Customer 25,South,Enterprise
C026,Customer 26,West,SMB
C027,Customer 27,Central,SMB
C028,Customer 28,Central,Enterprise
C029,Customer 29,West,Enterprise
C030,Customer 30,East,Enterprise
C031,Customer 31,South,Enterprise
C032,Customer 32,West,SMB
C033,Customer 33,South,Enterprise
C034,Customer 34,West,Enterprise
C035,Customer 35,North,Mid-market
C036,Customer 36,East,Enterprise
C037,Customer 37,North,Enterprise
C038,Customer 38,West,Enterprise
C039,Customer 39,South,Mid-market
C040,Customer 40,North,Mid-market
C041,Customer 41,West,SMB
C042,Customer 42,West,Mid-market
C043,Customer 43,East,Mid-market
C044,Customer 44,East,Enterprise
C045,Customer 45,North,SMB
C046,Customer 46,North,Enterprise
C047,Customer 47,North,SMB
C048,Customer 48,North,Mid-market
C049,Customer 49,North,Mid-market
C050,Customer 50,Central,Mid-market
C051,Customer 51,North,Mid-market
C052,Customer 52,West,SMB
C053,Customer 53,Central,Enterprise
C054,Customer 54,Central,Enterprise
C055,Customer 55,West,SMB
C056,Customer 56,South,Enterprise
C057,Customer 57,East,SMB
C058,Customer 58,Central,Enterprise
C059,Customer 59,South,Enterprise
C060,Customer 60,Central,SMB
