order_id,order_date,customer_id,product_id,quantity,amount
5000,2024-01-26,C003,P021,4,653.78
5001,2024-01-10,C009,P016,4,396.50
5002,2024-01-09,C015,P003,1,264.94
5003,2024-01-27,C020,P022,1,249.55
5004,2024-01-20,C009,P021,3,1338.74
5005,2024-01-16,C006,P007,1,171.13
5006,2024-01-07,C056,P009,6,2785.56
5007,2024-01-12,C049,P005,4,867.25
5008,2024-01-17,C047,P010,4,346.34
5009,2024-01-28,C006,P024,5,1830.46
5010,2024-01-13,C058,P024,4,1878.89
5011,2024-01-11,C012,P018,4,1236.20
5012,2024-01-25,C050,P008,6,2651.41
5013,2024-01-16,C011,P010,6,1860.73
5014,2024-01-28,C004,P012,6,707.77
5015,2024-01-25,C031,P022,3,1487.21
5016,2024-01-18,C032,P009,5,2187.88
5017,2024-01-16,C020,P020,8,3531.12
5018,2024-01-04,C039,P020,1,121.48
5019,2024-01-08,C001,P009,1,409.40
5020,2024-01-09,C003,P010,6,990.69
5021,2024-01-15,C045,P022,8,2131.72
5022,2024-01-18,C019,P002,7,1617.96
5023,2024-01-10,C035,P011,3,1092.00
5024,2024-01-19,C049,P015,8,3495.13
5025,2024-01-27,C017,P001,4,1255.19
5026,2024-01-23,C029,P023,4,552.82
5027,2024-01-06,C060,P022,6,1528.99
5028,2024-01-16,C047,P006,2,277.97
5029,2024-01-21,C036,P019,3,205.01
5030,2024-01-27,C052,P016,8,3200.89
5031,2024-01-05,C051,P003,4,1393.14
5032,2024-01-19,C034,P003,8,337.54
5033,2024-01-04,C047,P005,6,1664.56
5034,2024-01-22,C058,P005,5,1014.93
5035,2024-01-06,C059,P016,7,731.65
5036,2024-01-19,C046,P021,1,467.39
5037,2024-01-15,C034,P016,8,593.48
5038,2024-01-11,C032,P017,6,1293.75
5039,2024-01-25,C024,P005,6,1187.15
5040,2024-01-07,C001,P024,6,1878.28
5041,2024-01-25,C028,P006,5,1545.04
5042,2024-01-26,C051,P021,1,514.82
5043,2024-01-16,C037,P020,5,1586.93
5044,2024-01-15,C057,P015,7,599.81
5045,2024-01-28,C059,P016,6,643.93
5046,2024-01-20,C005,P018,2,211.32
5047,2024-01-23,C047,P011,1,497.63
5048,2024-01-26,C041,P016,2,71.14
5049,2024-01-23,C999,P024,1,523.33
5050,2024-01-16,C029,P003,8,707.56
5051,2024-01-26,C005,P021,2,623.55
5052,2024-01-19,C040,P012,3,407.52
5053,2024-01-07,C029,P001,6,3081.04
5054,2024-01-20,C007,P023,7,1076.67
5055,2024-01-22,C030,P013,2,367.72
5056,2024-01-24,C005,P011,1,294.17
5057,2024-01-19,C015,P012,6,1961.45
5058,2024-01-08,C007,P009,1,472.01
5059,2024-01-25,C047,P020,8,4061.22
5060,2024-01-23,C036,P019,6,2858.18
5061,2024-01-20,C053,P010,3,193.58
5062,2024-01-03,C043,P019,8,4182.56
5063,2024-01-21,C003,P010,1,51.39
5064,2024-01-11,C013,P009,6,610.05
5065,2024-01-12,C010,P020,1,414.72
5066,2024-01-11,C015,P022,8,831.85
5067,2024-01-26,C005,P018,6,1401.23
5068,2024-01-03,C007,P023,5,342.78
5069,2024-01-05,C011,P010,5,257.24
5070,2024-01-19,C009,P019,4,523.72
5071,2024-01-22,C010,P006,4,936.38
5072,2024-01-12,C039,P011,8,1886.12
5073,2024-01-25,C043,P018,4,366.92
5074,2024-01-08,C045,P001,8,489.69
5075,2024-01-21,C025,P023,7,1381.16
5076,2024-01-12,C008,P014,7,2530.27
5077,2024-01-08,C059,P003,7,3500.59
5078,2024-01-06,C008,P022,7,2976.62
5079,2024-01-25,C038,P017,4,1736.20
5080,2024-01-12,C038,P019,1,409.55
5081,2024-01-08,C016,P024,7,1140.40
5082,2024-02-03,C048,P012,8,2161.24
5083,2024-02-19,C001,P013,6,706.62
5084,2024-02-12,C023,P008,7,2206.29
5085,2024-02-07,C028,P022,4,2065.39
5086,2024-02-22,C012,P005,3,841.79
5087,2024-02-09,C017,P015,1,334.23
5088,2024-02-05,C060,P002,1,520.95
5089,2024-02-13,C002,P024,7,579.58
5090,2024-02-07,C051,P012,6,2180.74
5091,2024-02-06,C037,P019,3,581.04
5092,2024-02-24,C054,P021,5,224.19
5093,2024-02-13,C024,P013,4,509.68
5094,2024-02-05,C026,P024,6,3005.39
5095,2024-02-25,C031,P007,1,55.03
5096,2024-02-05,C042,P011,8,1380.54
5097,2024-02-11,C040,P006,1,37.95
5098,2024-02-02,C006,P013,7,1056.95
5099,2024-02-07,C016,P017,5,2598.62
5100,2024-02-04,C012,P021,4,1861.02
5101,2024-02-16,C011,P009,2,296.45
5102,2024-02-01,C009,P008,5,2522.15
5103,2024-02-04,C010,P003,1,472.93
5104,2024-02-02,C053,P009,1,71.28
5105,2024-02-16,C007,P007,5,2145.79
5106,2024-02-18,C057,P005,4,1201.23
5107,2024-02-27,C011,P001,3,899.17
5108,2024-02-13,C016,P018,7,514.18
5109,2024-02-20,C023,P019,3,154.10
5110,2024-02-02,C021,P003,1,260.39
5111,2024-02-27,C055,P017,8,1927.24
5112,2024-02-17,C012,P020,3,116.43
5113,2024-02-24,C043,P022,3,972.38
5114,2024-02-13,C044,P014,2,138.56
5115,2024-02-14,C046,P018,5,1983.67
5116,2024-02-25,C045,P013,6,3065.14
5117,2024-02-11,C039,P002,3,1075.73
5118,2024-02-17,C006,P012,3,803.72
5119,2024-02-21,C059,P012,6,3222.96
5120,2024-02-16,C014,P016,8,3907.24
5121,2024-02-22,C013,P013,6,890.33
5122,2024-02-12,C029,P014,6,1915.06
5123,2024-02-19,C015,P021,7,653.80
5124,2024-02-14,C044,P023,8,511.14
5125,2024-02-22,C019,P018,8,3401.60
5126,2024-02-23,C044,P009,1,211.86
5127,2024-02-03,C017,P010,7,2492.26
5128,2024-02-20,C006,P007,8,1908.79
5129,2024-02-11,C009,P024,8,372.05
5130,2024-02-18,C057,P024,2,718.59
5131,2024-02-07,C054,P009,7,2696.46
5132,2024-02-16,C046,P010,7,2109.52
5133,2024-02-28,C029,P013,6,2165.84
5134,2024-02-24,C024,P023,6,275.42
5135,2024-02-11,C003,P011,1,191.73
